,title,content,date,nickName
12,장기간으로 따라 오실분들,"안녕하세요  GM사이트는 해외 스포츠 토토 사이트입니다.
본사는 말레이시아 쿠알라룸프르에 있으며 회사에는 한국뿐만 아니라 유럽,북미,일본 중화권에도 전부 서버를 운영하고 있습니다. 본사는 말레이시아에 겐팅하이렌드에 위치하여 있으며 업무처 사무실은 말레이시아 대표 쇼핑센터 페트로나스 트윈 타워 근처에 자리잡고 있습니다.
다른 유사한 토토 사이트와는 달리 GM는 축구 경기 스코어 베팅에만 몰두하는 전문 싸이트입니다. 게임방법에는 스코어 정베팅과 스코어 역베팅 두가지가 있습니다.
스코어 역베팅은 영국에서 유래된 베팅 방식으로, 현재 전 세계 인기 있는 스포츠 베팅 방식입니다. 스코어 베팅은 베팅 스포츠 토토사이트에서 점수에 의거하여 해당 배당률을 산정하며 이는 베팅하는 사람이 해당경기 정확한 결과에 대한 정확한 스코어를 맞추는 게임입니다. 스코어 역배팅은 말 그대로 경기가 끝난 후 스코어를 반대로 틀리면 이기는 게임입니다. 스코어 역배팅은 0-0~3-3으로 나눠 결과가 총 16개이며, 홈팀 또는 원정 팀에서 4골 이상 넣으면 전부 베팅한 사람이 이기는 배팅방식입니다. 등 18개의 베팅으로 나눠 베팅하는 방식. 또한 사이트에 달라 전반전 또는 후반전 스코어 배팅 시스템도 존재합니다.. 

왜 스코어 역배팅을 해야 되나? 

스포츠 스코어 역배팅 게임은 주로 축구게임입니다, 스포츠 토토 사이트에서는 승부예측, 스코어 베팅, 코너킥, 홀짝등 여러 가지 베팅 시스템이 존재합니다. 하지만 스코어 역배팅은 수익률이 모든 베팅시스템에서 제일 적으며 당연히 위험부담도 제일 작습니다. 스코어 역배팅의 경우 승률은 94%에 달하며 기타 승부예측등 다른 베팅시스템은 승률이 50%가 최대입니다. 따라서 기타 베팅 시스템은 일종 도박에 속하지만 스코어 역배팅은 안정적으로 수익을 보장할 수 있습니다",2024-05-26 19:24,이수연
13,,"많은이들의 모임과 만남으로
아름다운 현재와 미래를 함께하고저
여기에 들어왔습니다.",2024-05-26 19:32,하늘나라
14,안녕하세요^ㅓ,잘부탁드려요^~,2024-05-26 19:32,보더
15,안녕하세요 ,"안녕하세요  GM사이트는 해외 스포츠 토토 사이트입니다.
본사는 말레이시아 쿠알라룸프르에 있으며 회사에는 한국뿐만 아니라 유럽,북미,일본 중화권에도 전부 서버를 운영하고 있습니다. 본사는 말레이시아에 겐팅하이렌드에 위치하여 있으며 업무처 사무실은 말레이시아 대표 쇼핑센터 페트로나스 트윈 타워 근처에 자리잡고 있습니다.
다른 유사한 토토 사이트와는 달리 GM는 축구 경기 스코어 베팅에만 몰두하는 전문 싸이트입니다. 게임방법에는 스코어 정베팅과 스코어 역베팅 두가지가 있습니다.
스코어 역베팅은 영국에서 유래된 베팅 방식으로, 현재 전 세계 인기 있는 스포츠 베팅 방식입니다. 스코어 베팅은 베팅 스포츠 토토사이트에서 점수에 의거하여 해당 배당률을 산정하며 이는 베팅하는 사람이 해당경기 정확한 결과에 대한 정확한 스코어를 맞추는 게임입니다. 스코어 역배팅은 말 그대로 경기가 끝난 후 스코어를 반대로 틀리면 이기는 게임입니다. 스코어 역배팅은 0-0~3-3으로 나눠 결과가 총 16개이며, 홈팀 또는 원정 팀에서 4골 이상 넣으면 전부 베팅한 사람이 이기는 배팅방식입니다. 등 18개의 베팅으로 나눠 베팅하는 방식. 또한 사이트에 달라 전반전 또는 후반전 스코어 배팅 시스템도 존재합니다.. 

왜 스코어 역배팅을 해야 되나? 

스포츠 스코어 역배팅 게임은 주로 축구게임입니다, 스포츠 토토 사이트에서는 승부예측, 스코어 베팅, 코너킥, 홀짝등 여러 가지 베팅 시스템이 존재합니다. 하지만 스코어 역배팅은 수익률이 모든 베팅시스템에서 제일 적으며 당연히 위험부담도 제일 작습니다. 스코어 역배팅의 경우 승률은 94%에 달하며 기타 승부예측등 다른 베팅시스템은 승률이 50%가 최대입니다. 따라서 기타 베팅 시스템은 일종 도박에 속하지만 스코어 역배팅은 안정적으로 수익을 보장할 수 있습니다",2024-05-26 19:34,이수연
16,,찔레장미 ㆍ 장미  꽃은 예쁘다,2024-05-26 20:09,쏨뱅이
17,안녕하세요  편안한 대활르 나누고 싶어요 ,안녕하세요 가입 통과 해줄수 있어요 ? ,2024-05-26 20:21,이수연
18,비가 오지만,"중랑천에 다녀왔어요.
장미 축제로 많은 사람들이 다녀왔다던데,
저는 사람이 많은 게 불편합니다.
오늘 비 오는 덕분에 편하게 꽃 구경 다녀왔네요.",2024-05-26 20:27,볼링이좋아
19,마포 공덕 한적한 기사식당을 찾았습니다.,"고등어가 먹고 싶어 근처를 서성이던 중 발견했습니다.
맛은 좋았습니다.
유명인들의 흔적이 있어 공유해요.",2024-05-26 20:29,볼링이좋아
20,,동탄이 살기 좋아졌네요~!,2024-05-26 20:31,시놀매니저
21,지난 목요일 새로운 책방을 찾았습니다.,"월곡에 위치하였는데, 책에 직원의 추천 문구를 작성한 것이 인상적이었습니다.

저는 주로 경제나 기술 서적을 읽습니다. 가끔 환기시키기 위해 자기계발이나 소설도 좋습니다.",2024-05-26 20:33,볼링이좋아
22,요즘 참 다양한 취미가 있습니다.,"등산으로도 숨이 벅찬 저는 이삼십대 청년들이 산을 뛰는 것을 보고 놀랐습니다.
트레일 러닝이라고 하더군요.
미리 체력 관리를 하면서 취미로 즐기니 참 좋은 문화인 듯 합니다.",2024-05-26 20:36,볼링이좋아
23,비도 오고 나른한 날 ,차 마시기 좋은 날이예요,2024-05-26 20:41,볼링이좋아
24,비가 오네요 ,"일요일 주말 
비가 잔잔하게 내리네요 

다들 한주 잘 보내셨길 바랍니다~",2024-05-26 22:06,
25,영종도 하늘 ,"영종도 다녀왔던 사진입니다 
맑은하늘이 그립네요~",2024-05-26 22:18,
26,아메리카노 한잔,"아메리카노 한잔 정도는 
오히려 몸에 좋다고 하네요

적당한 카페인으로 건강하게 한주를 보냈으면 합니다~",2024-05-26 22:22,
27,,"수라간 시식공감 축제 

수라간 음식을 체험할수 있는 축제가 있네요~

기간 : 2024.05.22 ~ 2024.05.30
위치: 서울특별시 종로구 사직로 161 (세종로) 광화문 


",2024-05-26 22:28,
28,,"창덕궁 달빛 기행 축제 

선선한 저녁 창덕궁관람은 어떠신가요?


기간: 2024.04.11 ~ 2024.06.02

위치: 서울특별시 종로구 율곡로 99 (와룡동) 창덕궁",2024-05-26 22:31,
29,새로운 모임장님 모십니다.,혹시 이 모임 맡아서 운영해주실 모임장 후보님이 계실까요? 있으시면 제가 양도하겠습니다. 능력있는 분이 맡아서 활동해 주시면 고맙겠습니다,2024-05-26 23:45,네브
30,,"안녕하세요 
가입 인사  드립니다 
잘부탁드립니다 ",2024-05-27 00:03,날마다
31,.," 사랑하는 나의 고운인연들에게 

살아도 살아도 
사랑이 있어 정은 흐르나니
내가 그대를 위한 기쁨이 되고 
그대가 나를 위한 힘이라면 
우린 얼마나 행복할까 

우리 서로가 좋은 인연이라면 
보고픈 그리움이라면 
하루를 살다가도 행복을 느껴 산다면 
난 참으로 감사하겠네 

인연으로 이어지는 우리의 만남 속에 
서로를 해치는 악연이 아닌 
보면 볼 수록 정이 더욱 들어 
늘 함께하는 인연이 아니어도 

일순간이라도 
우린 서로가 서로를 위해 빌어주는 
따스한 마음이 있다면 꿈결처럼 행복하겠네

인연아 인연아 내 고운 인연아
스스럼없이 바람처럼 구름처럼 오고가다오",2024-05-27 00:24,의봉
32,,"넓지는 안지만 1300m  산 정상부 주변에 펼쳐진 하얀 꽃의 양탄자 . .
  이걸  보려고  2시반에 일어나 3시간을 넘게 달린 나는 어떤 사람일까요 ..ㅋㅋ",2024-05-27 04:34,빠달
33,안녕하세요?,"반갑습니다..
저는 화성 봉담에 서식하는 60서생
박찬연이라고 합니다. 잘 부탁드려요 ^♡^",2024-05-27 04:45,서헌(墅軒)
34,등산로,두문동재에서 분주령가는 길,2024-05-27 06:00,빠달
35,꽃길 산책,두문동재에서 대덕산 가는길,2024-05-27 06:08,빠달
36,,"오늘 신문을 통해 알게 된 것들~

1. 내년, 의대 1509명 증원 확정 →한국대학교육협의회(대교협), 2025학년도 대입 전형 변경 사항 심의·승인. 각 대학은 31일까지 수시모집 요강 공개. 이번 증원은 1998년 제주대 의대 신설 이후 27년 만.(한국 외)


2. 하이패스 단말기 없어도 통행료 자동 납부, 시범 시행 → 이용 희망자는 도로공사 통행료 홈페이지나 앱에서 차량번호와 신용카드를 사전 등록. 경부선 대왕판교영업소 등 전국 8곳에서 시범운영 시작.(경향)


3. 법 너무 잘 만드는 한국 국회? → 법안 발의 건수, 영국은 650명 전체 의원이 4년간 545건... 이는 우리 국회의원 단 2명(더불어민주당 민형배 325건, 윤준병 283건, 21대 1, 2위)이 발의한 608건보다 적어. 날림, 급조 법안 우려... ‘국민’을 ‘시민’, ‘지방’을 ‘지역’으로 바꾸는 단어 바꾸기도 입법 실적으로 잡는 것도 한 이유.(중앙선데이)


4. ‘유망 투자처’ 신흥국 투톱, 인도, 멕시코 → 인도 펀드 1년 수익률 38%, 멕시코는 6개월 15%... 미·중 갈등의 반사적 수혜라는 분석. 인도의 중국 대체가 더 가속화 될 것 전망...(중앙선데이)


5. 한국의 밀집 아파트가 IT 강국 비결? → 유독 한국의 초고속 인터넷이 보급이 빨랐던 여러 이유 중 분명한 한 가지는 한국인이 아파트에 오밀조밀 모여 살았기 때문이다. 인터넷 케이블을 설치하는데 드는 비용과 시간 면에서 최적의 조건이었다.(중앙선데이)


6. ‘과독증’(hyperlexia·過讀症) → 자폐스펙트럼 장애와 관련된 증상으로 이해하지도 못하면서 책을 통째로 외우거나, 왼쪽 눈으로는 왼쪽 페이지를, 오른쪽 눈으로는 오른쪽 페이지를 동시에 읽는 경우도 있다.(중앙선데이)


7. 코딩 자격증 장사, 수준미달 자격증 난무 → 지난달 말 기준 코딩자격증은 무려 429개. 국가 공인 자격증은 없고, 모두 민간 자격증. 취업 준비생 대상 자격증 장사 성행...(매경)",2024-05-27 09:40,시놀매니저
37,뒷모습,"뒤  
       황 영철  
내 뒷모습은 나 자신의 절반인 것인데  
사이도 좋게 딱 반반씩 나눈 것인데  
번번이 앞 모습만 매만졌다  

벽에 의자에 바위에 나무에 너에게  툭하면 앉고 기댄 탓에  
세상의 소란다 삼킨 채  짓눌린 나의 뒤여  
아무것도 가질 수도 만질 수도 없이  
잠잠한 그늘만 드리운 뒤야말로  
응당 앞이 아닐까 하는 생각  

뒤라고 알고 지낸 많은 것들이  실은 진짜 앞이 아닐까 하는  


(주:지하철 스크린도어에 있는 시를 찾아 올립니다.)
",2024-05-27 10:21,케이
38,,"어느새 수련들이 아름다운 자태를 자랑하는 계절입니다.
자연의 흐름에 적응하며 즐거운 시간을 갖는것은 행복입니다. 바쁜 여정속에
자신의 즐거움을 찾아 보내고 있습니다.",2024-05-27 14:52,두레
39,가입인사,잘 부탁드립니다~^^,2024-05-27 14:58,시그마
40,.,"생활속 꿀팁!! '소금'의  활용법

1. 커피를 마실 때 소금을 조금 넣으면
향도 좋아지고 정력증진에도 효과가 있다고 한다.   

2. 껍질을 벗긴 과일을 소금물에
담갔다가 꺼내면 색이 변하지 않는다.   

3. 담수어처럼 흐트러지기 쉬운 생선을 구울 때
소금물에 30분정도 담궜다가 구우면
잘 흐트러지지 않는다.   

4. 클렌징을 할 때 잘 지워지지 않으면
크림에 분말소금을 조금 넣고 클렌징을 하면
화장이 깨끗이 지워진다.   

5. 아기를 목욕시킬 때 목욕물에 소금을 넣으면
피부가 매끈해지고 염증이 생기지 않는다.   

6. 두릅을 요리할 때는 두릅의 밑부분을 깎아 내고
바닥을 십자로 칼집 낸 후 소금을 넣으면
독성이 없어진다.   

7. 버섯 요리 할 때는 끓는 물에 소금을 넣고
버섯을 튀겨내면 색깔이 살아나고 독성이 없어진다.   

8. 개미가 방에 많으면 장롱 밑이나 구석에
소금을 뿌려 놓으면 개미가 없어진다.   

9. 시금치 등 야채를 삶을 때 소금을 조금 넣으면
야채의 색깔이 선명해진다.   

10. 기름 묻은 프라이팬이 뜨거울 때 소금을 뿌려
휴지로 닦아내면 깨끗이 닦인다.   

11. 토마토나 삶은 감자 들은
소금에 찍어 먹으면 달고 맛이 좋다.   

12. 겨울날 빨래를 할 때 헹굼 물에
소금을 넣어 헹궈내면 밖에 널어도 얼지 않는다.   

13. 바닷조개는 소금 물에 담가 두면
흙이나 모래를 토해낸다.   

14. 감물이 옷에 묻었을 때 소금 물에 담갔다가 빤 후
식초 탄 물에 빨아 세탁하면 감물이 빠진다.   

15. 옷에 피가 묻었을 때 소금 물에 담가
핏물이 배어 나온 후 비벼 빤다.   

16. 보리차에 소금을 조금 넣으면 향기가 좋아진다.   

17. 가지를 볶을 때 진한 소금 물에 담갔다가
볶으면 가지가 기름을 많이 먹지 않는다.   

18. 목 감기로 목이 부어 따가울 때는
따뜻한 소금물 양치가 특효다.
(1~2시간 간격으로 자주 해주도록 한다.)
통증을 가라 앉히는 데는 꿀을 한 스",2024-05-27 15:40,의봉
41,건강이 최고,"건강을 위하여 잔차라이딩과 파크골프에 빠져있는 사람입니다
인생이막 노후를 몸건강 챙김서 살고파요",2024-05-27 17:06,하오리
42,건강을위하여,"안녕하세요
자녀들은 짝을 만나 곁을 떠나고 날이갈수록 헛한 마음이드네요
인생2막 건강만을 생각하며 열심히 잔차라이딩으로 체력을 쌓고있습니다
무료한 일상에 우연히 알게되어 가입해봅니다
잘부탁드려요",2024-05-27 17:13,하오리
43,첫번째 여행 함께 해요!,"우리 첫번째 정기모임은 참석 신청을
딱 한 분만 하셔서 취소하였습니다.
많은 분들이 가입하신 후 전혀
모임글을 읽지 않으시더군요.
총 인원이 29명인데 글을 읽은 분은
13명에 그쳤습니다.
어쨌든 아쉬운 정기모임의 취소는
뒤로 하고 우리 모임 취지에 따라 
첫번째 여행을 떠나볼까 합니다.

6/11~12일(화,수) 1박2일로 
예천~안동 지역이 목적지입니다.

위 사진들은 3년전 한참 더운 8월에
병산서원 배롱나무꽃을 주테마로
여행다녀왔을 때의 사진입니다.
하회마을은 제가 다녀간 2021년
11월부터 전동차 운행을 금지하여
걷는 구간이 좀 더 많겠네요.
이번에는 월영교 야경과 
미스터 선샤인 촬영지인 만휴정 등을
추가로 둘러볼 예정입니다.

타지에서 오시는 분들은 
대전역이나 대전복합버스터미널로 오시면 픽업하는 걸로 하겠습니다.
자차로 오실 분은 무료주차할 
곳을 안내해 드리구요.
대전에서 오전 9시반~10시 쯤에
출발할 예정이며,
회비는 후정산합니다.
(예상경비는 1인당 15~20만원)

숙박비는 2인실과 1인실 별도 계산.

숙소 예약 관계로 30일(목) 
오후 6시에 마감할 예정이고 
먼저 신청하신 세분만 함께 하겠습니다.
(모임장 연락처: 010-5452-8686)

첨부 사진 순서대로
- 삼강주막마을
- 회룡포
- 소백산 하늘자락
- 낙강물길공원
- 병산서원
- 하회마을

※ 숙소는 1인1실을 기준으로 하고,
   동성은 2인1실 트윈베드 가능.
   (숙소 상황에 따라)",2024-05-27 17:44,해리
44,테스트로 사진 올려 봅니다,테스트,2024-05-27 18:00,환희
45,지리산 번개 수정,테스트,2024-05-27 18:04,강희갑대장
46,인생2막,"안녕하세요
자녀들은 짝을 만나 곁을 떠나고 날이갈수록 헛한 마음이드네요
인생2막 건강만을 생각하며 열심히 잔차라이딩으로 체력을 쌓고있습니다
무료한 일상에 우연히 알게되어 가입해봅니다
잘부탁드려요",2024-05-27 19:20,하오리
47,멋진인생 ,친구같은 여인이 되고 싶내요 ,2024-05-27 19:40,이슬이
48,가입인사,"안녕하세요.
은퇴하고 문복산에서 장작 패고 있습니다.",2024-05-27 20:07,장작맨
49,저도화성시살아요,매송면,2024-05-27 21:06,기날
50,전화성시살아요,매송면 ,2024-05-27 21:08,기날
51,요한,"안녕하세요 
깜밥 인사 드림니다
여행을 좋아해 가입하게 되었네요",2024-05-27 22:08,깜밥
52,관악산,테스트,2024-05-27 22:36,강희갑대장
53,.," 친구여~ 우리 人生은 이렇다네! 

인생(人生) 
60대는 해(年)마다 늙고,
70대는 다달(月)이 늙고,
80대는 나날(日)이 늙고,
90대는 때(時)마다 늙고,
백세가 되면
분(分)마다 늙는다고 한다,

노후(老後)의 친구는
01. 가까이 사는 친구가 좋고
02. 자주 만날 수 있어야 하며
03. 취미나 종교가 같으면 더 좋다.

유수불복회
[流水不復回]
흐르는 물은 다시 돌아오지 않고,

행운난재심
[行雲難再尋]
떠도는 구름은 다시 볼 수 없네...

노인두상설
[老人頭上雪]
늙은이의 머리위에 내린 흰 눈은...

춘풍취불소
[春風吹不消]
봄 바람이 불어 와도 녹지를 않네...

춘진유귀일
[春盡有歸日]
봄은 오고 가고 하건만,

노래무거시
[老來無去時]
늙음은 한 번 오면 갈 줄을 모르네,

춘래초자생
[春來草自生]
봄이 오면 풀은 저절로 나건만

청춘유불주
[靑春留不住]
젊음은 붙들어도 머물지 않네

화유중개일
[花有重開日]
꽃은 다시 피는 날이 있으나,

인생갱소년
[人生更少年]
사람은 다시 소년이 될 수 없네

산색고금동
[山色古今同]
산색은 예나 지금이나 변하지 않으나

인심조석변
[人心朝夕變]
사람의 마음은 아침과 저녁으로 변하네...

화향백리
[花香百里]
꽃의 향기는 백리를 가고,

인향만리
[人香萬里]
사람의 향기는 만리를 간다네...

남자는 마음으로 늙고,
여자는 얼굴로 늙는다.
(영국 속담",2024-05-27 22:41,의봉
54,300회 희망일출,기념,2024-05-27 23:07,강희갑대장
55,가입인사,안녕하세요 잘 부탁드립니다,2024-05-28 00:57,정범진
56,안녕하세요?,"반갑습니다..
안녕하세요 저는 34년 군에 복무하고 예편한 후 현재는 화성 봉담에서 아파트 관리사무소에서 기전팀장으로 근무하고 있는 박찬연이라고 합니다.
잘 부탁드립니다. 감사합니다. ^♡^",2024-05-28 01:09,서헌(墅軒)
57,안녕하세요?,"반갑습니다..
안녕하세요 저는 34년 군에 복무하고 예편한 후 현재는 화성 봉담에서 아파트 관리사무소에서 기전팀장으로 근무하고 있는 박찬연이라고 합니다.

피클러 6개월차입니당..
잘 부탁드립니다. 감사합니다. ^♡^",2024-05-28 01:16,서헌(墅軒)
58,안녕하세요?,"반갑습니다..
안녕하세요 저는 34년 군에 복무하고 예편한 후 현재는 화성 봉담에서 아파트 관리사무소에서 기전팀장으로 근무하고 있는 박찬연이라고 합니다.
잘 부탁드립니다. 감사합니다. ^♡^",2024-05-28 01:29,서헌(墅軒)
59,안녕하세요?,"반갑습니다..
안녕하세요 저는 34년 군에 복무하고 예편한 후 현재는 화성 봉담에서 아파트 관리사무소에서 기전팀장으로 근무하고 있는 박찬연이라고 합니다.
잘 부탁드립니다. 감사합니다. ^♡^",2024-05-28 01:32,서헌(墅軒)
60,안녕하세요?,"반갑습니다..
안녕하세요 저는 34년 군에 복무하고 예편한 후 현재는 화성 봉담에서 아파트 관리사무소에서 기전팀장으로 근무하고 있는 박찬연이라고 합니다.
잘 부탁드립니다. 감사합니다. ^♡^",2024-05-28 01:35,서헌(墅軒)
61,인사 올립니다,가입 인사 드립니다,2024-05-28 01:44,노루샘
62,안녕하세요?,"반갑습니다..
안녕하세요 저는 34년 군에 복무하고 예편한 후 현재는 화성 봉담에서 아파트 관리사무소에서 기전팀장으로 근무하고 있는 박찬연이라고 합니다.
잘 부탁드립니다. 감사합니다. ^♡^",2024-05-28 01:48,서헌(墅軒)
63,안녕하세요?,동참합니당 ^♡^,2024-05-28 01:55,서헌(墅軒)
64,,이름은 모르지만 귀한꽃을보면 기쁨이  ...,2024-05-28 02:37,빠달
65,안녕~!,"다른사람들은  어떻게  살아가나?

궁금하네요ᆢ 좀더 활기찬 

 에너지가 필요해서 일겁니다
",2024-05-28 07:38,삐삐
66,반갑습니다,반갑습니다,2024-05-28 09:47,쫑이
67,반갑습니다~,즐거운시간 같이 만들어가요~^,2024-05-28 11:46,돈키호테
68,오늘 점심은 베트남 음식 ^^,"쌀국수와 반세오 입니다
베트남 가고싶아지네요~~",2024-05-28 11:49,추억의향기
69,반갑습니다,행복해지고 싶네요,2024-05-28 12:22,오리
70,장미의 계절,"장미 터널이  오월의
아름다운 계절을 표현한다.
아쉬움이 담긴 시간들
바람이 스치어 가며 향기를 전하고
애틋한 봄의 이별이 다가오고 있다.
",2024-05-28 13:52,두레
71,서울 아이스버킷챌린지 런 행사를 진행합니다.  ,"서울 아이스버킷챌린지 런 행사를 진행합니다. 
날짜는 6. 29일(토) 입니다. 
이번행사는 티셔츠 수량이 500개로 제한되어 있어 조기 마감 될 수 있습니다. 

[2024 Miracle 365 x 아이스버킷 챌린지 런 in 서울 참가자 모집 오픈 안내]

안녕하세요! 승일희망재단입니다.

<2024 Miracle 365 x 아이스버킷 챌린지 런 in 서울>의 참가자 모집이 선착순 딱 500명만을 위해 오픈되었습니다.

반짝이는 한강 산책로를 따라 러닝도 즐기고, 루게릭병 환우와 가족에게 희망도 전하는 즐거운 기부 캠페인에 함께 해주세요!
참가비는 국내 최초 루게릭요양병원의 건립과 운영을 위해 사용됩니다.

▶ 행사일: 2024.06.29(토) 10:00(체크인 9:00 부터)
▶ 장소: 반포 한강공원 달빛광장(서울 서초구 신반포로11길 40)
▶ 참가자 기념품: 노스페이스 정품 티셔츠, 뉴케어 액티브, 엄목레 필링패드, 파워에이드 등
▶ 참가비: 1인 50,000원
▶ 신청: 위드아이스 홈페이지(https://withice.or.kr/94/?idx=109)
▶ 참가문의 : 02-3453-6865
많은 참여와 관심 부탁드립니다!
승일희망재단 
",2024-05-28 14:25,산타는희망일출
72,서울 아이스버킷챌린지 런 행사를 진행합니다.  ,"[2024 Miracle 365 x 아이스버킷 챌린지 런 in 서울 참가자 모집 오픈 안내]

안녕하세요! 승일희망재단입니다.

<2024 Miracle 365 x 아이스버킷 챌린지 런 in 서울>의 참가자 모집이 선착순 딱 500명만을 위해 오픈되었습니다.

반짝이는 한강 산책로를 따라 러닝도 즐기고, 루게릭병 환우와 가족에게 희망도 전하는 즐거운 기부 캠페인에 함께 해주세요!
참가비는 국내 최초 루게릭요양병원의 건립과 운영을 위해 사용됩니다.

▶ 행사일: 2024.06.29(토) 10:00(체크인 9:00 부터)
▶ 장소: 반포 한강공원 달빛광장(서울 서초구 신반포로11길 40)
▶ 참가자 기념품: 노스페이스 정품 티셔츠, 뉴케어 액티브, 엄목레 필링패드, 파워에이드 등
▶ 참가비: 1인 50,000원
▶ 신청: 위드아이스 홈페이지(https://withice.or.kr/94/?idx=109)
▶ 참가문의 : 02-3453-6865
많은 참여와 관심 부탁드립니다!
승일희망재단 ",2024-05-28 14:30,산타는희망일출
73,수도권 근처 여명&일출&일몰 맛집 남한산성,"2024. 5. 25 298번째 희망일출은 남한산성 제2남옹성입니다. 매월 마지막주 토요일은 남한산성에서 희망일출을 진행하고 있습니다. 관심있는분들의 많은 참여 바랍니다. 언제든 환영합니다. 
#일출맛집 
#일몰맛집 
#일출 
#남한산성 
#제2남옹성 
#산타는희망일출 
#희망일출 
#남사모 
#강희갑사진작가 
https://youtu.be/TlaOazV2AbI?si=Ixfji29q6v1qTABR",2024-05-28 15:13,산타는희망일출
74,안녕하세요 ,고양시에 이사온지 얼마안되서 동네분들과 친분을 쌓고싶어 왔습니다. ,2024-05-28 16:05,Suny
75,반가워요 ,"안녕하세요 
",2024-05-28 16:07,감쟁이
76, ■청년 발달장애인/자립청소년과 함께하는 희망일출■,"■청년 발달장애인/자립청소년과 함께하는 희망일출■ 299번째 희망일출

1. 일시 : 6월1일(토)~2일(일) 1박2일
2. 장소 : 함양소방서, 지리산 노고단
3. 참석자
- 발달장애인 : 성남시한마음복지관 15명
- 자립청소년 : 경기남부자립청소년지원관 15명 이내
- 인솔교사, 행복한경영대학 CEO, 희망일출 회원
4. 일정
- 6/1(토)
09시30분 성남시한마음복지관 출발
13시30분 함양 도착 및 중식
14시30분 함양소방서 견학
16시30분 14시 성삼재휴게소 도착 및 산행
18시00분 지리산 노고단대피소 도착
18시30분 저녁식사 후 마술공연 등 행사

- 6/2(일)
05시00분 기상 및 산행
05시40분 지리산 노고단(1,507m) 일출
07시30분 하산
09시00분 성삼재휴게소 도착
10시30분 조식
11시30분 출발
15시00분 성남시한마음복지관 도착 및 해산",2024-05-28 16:15,산타는희망일출
77,서울둘레길  제 7 일자산 코스,"명일근린공원에서 일자산(134m) 능선을 따라 7.7km를 걷습니다.
강동그린웨이 가족캠핑장에서 휴식하고
오금1교에서 마무리되는 구간으로 도심 속의 가벼운 뒷동산
트래킹을 즐길 수 있는 쉬운 코스입니다.
평범한 코스임으로 누구나 걸을 수 있어 많은 분들의 참석을 
기대하며, 물과 스탬프 북을 꼭 지참하시기 바랍니다.
오늘도 서울둘레길 회원들 모두 화이팅!",2024-05-28 19:04,케이
78,안녕하세요,안녕하세요 반갑습니다 ㅎㅎ 잘 부탁드리겠습니다,2024-05-28 20:30,성보기
79,용평/버치힐 1박2일 남성회원님 한자리 있습니다.,한분 신청 받습니다.,2024-05-28 20:59,천상여자
80,[긴급]  용평/버치힐 1박2일 남성회원1분 신청가능.,"룸 배정상.  2인1실이며

남자1분 신청가능합니다.

댓글로 신청하시고... 골프장측으로 입금부탁드립니다.

그린휘2회 숙박2인1실.조식포함이며.용평cc 1회.버치힐1회 

1박2일 골프2회 348.000원입니다.

회원님의 도움으로 할인된금액과 명문골프장에서의 라운드기회 놓치지마시고 신청하세요. 

남자1분 입니다.",2024-05-28 21:07,천상여자
